transaction_id,sender_account,sender_name,receiver_account,receiver_name,amount_inr,timestamp,transaction_type
TXN6397942,AC3579174154,Chatresh Badami,AC3452057664,Abeer Vaidya,2771.49,2026-08-01 19:00:00,POS
TXN6997144,AC4299133711,Jairaj Natt,AC5060963816,Wridesh Jain,9966.01,2026-08-01 20:00:00,POS
TXN4976471,AC4299133711,Jairaj Natt,AC6677889900,Amit Banerjee,729.63,2026-08-01 23:00:00,POS
TXN8748099,AC4899856501,Jagdish Thakkar,AC6396399128,Ryan Deol,12510.69,2026-08-01 23:00:00,IMPS
TXN9468819,AC4696210662,Yashasvi Mammen,AC1122334455,Tariq Khan,12123.75,2026-08-02 00:00:00,IMPS
TXN6135871,AC3291568710,Deepa Chad,AC7485632891,Peter Gaba,4417.27,2026-08-02 01:00:00,UPI
TXN4333233,AC3291568710,Deepa Chad,AC5544332211,Sunita Sharma,1309.53,2026-08-02 02:00:00,UPI
TXN4501576,AC5060963816,Wridesh Jain,AC3488555681,Vasatika Saha,3023.9,2026-08-02 02:00:00,POS
TXN4178006,AC4899856501,Jagdish Thakkar,AC5297465059,Jagat Kaur,11940.47,2026-08-02 03:00:00,UPI
TXN6191407,AC6396399128,Ryan Deol,AC6677889900,Amit Banerjee,7693.06,2026-08-02 04:00:00,UPI
TXN6857483,AC1089647651,Yug Balay,AC9988112233,Rahul Verma,3662.1,2026-08-02 04:00:00,POS
TXN3859935,AC3291568710,Deepa Chad,AC2222296206,Ekalinga Om,2409.75,2026-08-02 04:00:00,UPI
TXN7176873,AC4299133711,Jairaj Natt,AC8982566726,Henry Chander,4375.7,2026-08-02 05:00:00,IMPS
TXN4217037,AC2557678480,Megha Lad,AC9742736835,Radhika Mukhopadhyay,938.96,2026-08-02 19:00:00,IMPS
TXN4089787,AC3429441363,Krisha Subramaniam,AC9693438593,Rachita Oak,3467.31,2026-08-02 19:00:00,UPI
TXN3820609,AC5544332211,Sunita Sharma,AC3291568710,Deepa Chad,10160.19,2026-08-02 20:00:00,IMPS
TXN5930935,AC4455667788,Vikram Singh,AC2518270208,Advay Buch,4893.24,2026-08-02 21:00:00,UPI
TXN6888035,AC3452057664,Abeer Vaidya,AC9443074726,Yashoda Atwal,10941.18,2026-08-02 21:00:00,POS
TXN8793695,AC5414168180,Faraj Bhavsar,AC3452057664,Abeer Vaidya,1724.76,2026-08-02 22:00:00,POS
