caller_number,receiver_number,timestamp,duration_seconds,tower_location,call_type
+919835012345,+919431054321,2026-08-01 09:05:00,170,Ranchi,Voice
+919830011223,+919831122334,2026-08-01 09:26:00,162,Kolkata,Voice
+913090136499,+919831122334,2026-08-01 16:42:00,79,Patna,Voice
+918896051470,+919830011223,2026-08-01 17:18:00,240,Ranchi,Voice
+912920913193,+919963444402,2026-08-01 17:22:00,217,Ranchi,Voice
+916951256313,+914416664815,2026-08-01 21:34:00,246,Patna,Voice
+919133232853,+910453411811,2026-08-01 23:52:00,223,Patna,Voice
+919133232853,+919431054321,2026-08-02 00:42:00,198,Kolkata,Voice
+915511688048,+916789204099,2026-08-02 01:54:00,55,Ranchi,Voice
+918505221884,+919835012345,2026-08-02 02:06:00,210,Ranchi,Voice
+912359496618,+918647586631,2026-08-02 02:13:00,292,Kolkata,Voice
+916476156518,+915511688048,2026-08-02 03:14:00,48,Patna,Voice
+912359496618,+914416664815,2026-08-02 03:21:00,283,Kolkata,Voice
+914201541617,+915511688048,2026-08-02 03:55:00,87,Ranchi,Voice
+918505221884,+919732098765,2026-08-02 04:32:00,296,Ranchi,Voice
+916698346281,+914120832992,2026-08-02 04:43:00,134,Ranchi,Voice
+914416664815,+912920913193,2026-08-02 05:42:00,121,Patna,Voice
+919830011223,+919831122334,2026-08-02 11:15:00,839,Kolkata,Voice
+912359496618,+914457209890,2026-08-02 16:48:00,128,Kolkata,Voice
+916951256313,+914052033787,2026-08-02 17:21:00,257,Kolkata,Voice
+916087451928,+919732098765,2026-08-02 19:51:00,161,Ranchi,Voice
+910523748099,+913891760586,2026-08-02 20:30:00,166,Patna,Voice
+914201541617,+916789204099,2026-08-02 22:02:00,145,Ranchi,Voice
+916087451928,+914201541617,2026-08-02 23:05:00,206,Ranchi,Voice
+911727929178,+914120832992,2026-08-02 23:24:00,222,Kolkata,Voice
+916951256313,+916789204099,2026-08-02 23:24:00,117,Kolkata,Voice
+919133232853,+919963444402,2026-08-03 01:07:00,216,Kolkata,Voice
+918821827703,+911026188107,2026-08-03 01:50:00,219,Ranchi,Voice
+916087451928,+919732098765,2026-08-03 02:46:00,63,Patna,Voice
+916705129124,+914120832992,2026-08-03 03:20:00,229,Ranchi,Voice
+918896051470,+911026188107,2026-08-03 04:55:00,118,Ranchi,Voice
